id,state,district,urban_rural,income_band,household_size,source_dataset,source_year
403,Maharashtra,district_2,urban,50k-100k,5,seed_synthetic,2026
404,Bihar,district_3,rural,<10k,4,seed_synthetic,2026
405,Uttar Pradesh,district_4,rural,25k-50k,1,seed_synthetic,2026
406,Tamil Nadu,district_5,rural,10k-25k,3,seed_synthetic,2026
407,Uttar Pradesh,district_6,rural,10k-25k,6,seed_synthetic,2026
408,Karnataka,district_7,urban,<10k,6,seed_synthetic,2026
409,Bihar,district_8,urban,50k-100k,4,seed_synthetic,2026
410,Karnataka,district_9,urban,50k-100k,5,seed_synthetic,2026
411,Maharashtra,district_10,rural,<10k,1,seed_synthetic,2026
412,Maharashtra,district_11,rural,<10k,4,seed_synthetic,2026
413,Maharashtra,district_12,rural,50k-100k,4,seed_synthetic,2026
414,Karnataka,district_13,rural,10k-25k,7,seed_synthetic,2026
415,Karnataka,district_14,rural,<10k,3,seed_synthetic,2026
416,West Bengal,district_15,rural,<10k,2,seed_synthetic,2026
417,Bihar,district_16,urban,25k-50k,3,seed_synthetic,2026
418,Karnataka,district_17,urban,25k-50k,2,seed_synthetic,2026
419,Maharashtra,district_18,urban,25k-50k,4,seed_synthetic,2026
420,Tamil Nadu,district_19,rural,100k+,5,seed_synthetic,2026
421,Bihar,district_20,urban,10k-25k,6,seed_synthetic,2026
422,West Bengal,district_21,rural,10k-25k,7,seed_synthetic,2026
423,West Bengal,district_22,rural,10k-25k,1,seed_synthetic,2026
424,Tamil Nadu,district_23,rural,10k-25k,2,seed_synthetic,2026
425,Uttar Pradesh,district_24,urban,<10k,3,seed_synthetic,2026
426,Maharashtra,district_25,urban,<10k,2,seed_synthetic,2026
427,Bihar,district_26,urban,10k-25k,6,seed_synthetic,2026
428,West Bengal,district_27,rural,25k-50k,1,seed_synthetic,2026
429,Karnataka,district_28,rural,<10k,1,seed_synthetic,2026
430,West Bengal,district_29,rural,10k-25k,7,seed_synthetic,2026
431,Karnataka,district_30,urban,25k-50k,7,seed_synthetic,2026
432,West Bengal,district_31,rural,25k-50k,2,seed_synthetic,2026
433,West Bengal,district_32,rural,25k-50k,3,seed_synthetic,2026
434,Karnataka,district_33,rural,50k-100k,4,seed_synthetic,2026
435,Uttar Pradesh,district_34,rural,25k-50k,4,seed_synthetic,2026
436,Karnataka,district_35,urban,<10k,7,seed_synthetic,2026
437,Tamil Nadu,district_36,rural,10k-25k,3,seed_synthetic,2026
438,Bihar,district_37,urban,25k-50k,1,seed_synthetic,2026
439,Karnataka,district_38,rural,<10k,3,seed_synthetic,2026
440,Uttar Pradesh,district_39,urban,<10k,4,seed_synthetic,2026
441,Bihar,district_40,urban,<10k,4,seed_synthetic,2026
442,Maharashtra,district_41,rural,10k-25k,4,seed_synthetic,2026
443,Karnataka,district_42,urban,10k-25k,7,seed_synthetic,2026
444,Uttar Pradesh,district_43,rural,<10k,6,seed_synthetic,2026
445,Tamil Nadu,district_44,rural,50k-100k,2,seed_synthetic,2026
446,Tamil Nadu,district_45,urban,50k-100k,3,seed_synthetic,2026
447,Maharashtra,district_46,rural,<10k,5,seed_synthetic,2026
448,Bihar,district_47,rural,50k-100k,3,seed_synthetic,2026
449,Tamil Nadu,district_48,rural,<10k,3,seed_synthetic,2026
450,Maharashtra,district_49,urban,50k-100k,2,seed_synthetic,2026
451,Bihar,district_0,rural,100k+,2,seed_synthetic,2026
452,Bihar,district_1,urban,<10k,6,seed_synthetic,2026
453,Uttar Pradesh,district_2,urban,25k-50k,6,seed_synthetic,2026
454,Karnataka,district_3,urban,100k+,6,seed_synthetic,2026
455,Tamil Nadu,district_4,rural,50k-100k,3,seed_synthetic,2026
456,Tamil Nadu,district_5,rural,100k+,1,seed_synthetic,2026
457,Karnataka,district_6,rural,25k-50k,2,seed_synthetic,2026
458,Tamil Nadu,district_7,rural,<10k,3,seed_synthetic,2026
459,Bihar,district_8,rural,50k-100k,4,seed_synthetic,2026
460,Karnataka,district_9,rural,25k-50k,7,seed_synthetic,2026
461,West Bengal,district_10,rural,25k-50k,7,seed_synthetic,2026
462,Karnataka,district_11,rural,10k-25k,1,seed_synthetic,2026
463,West Bengal,district_12,urban,25k-50k,5,seed_synthetic,2026
464,Uttar Pradesh,district_13,urban,<10k,3,seed_synthetic,2026
465,Karnataka,district_14,rural,25k-50k,2,seed_synthetic,2026
466,Bihar,district_15,rural,<10k,4,seed_synthetic,2026
467,Karnataka,district_16,rural,25k-50k,1,seed_synthetic,2026
468,Tamil Nadu,district_17,urban,50k-100k,3,seed_synthetic,2026
469,Maharashtra,district_18,rural,10k-25k,4,seed_synthetic,2026
470,Bihar,district_19,urban,10k-25k,2,seed_synthetic,2026
471,West Bengal,district_20,urban,10k-25k,5,seed_synthetic,2026
472,West Bengal,district_21,urban,100k+,4,seed_synthetic,2026
473,Uttar Pradesh,district_22,urban,25k-50k,6,seed_synthetic,2026
474,Uttar Pradesh,district_23,rural,10k-25k,2,seed_synthetic,2026
475,Tamil Nadu,district_24,urban,<10k,1,seed_synthetic,2026
476,West Bengal,district_25,rural,<10k,4,seed_synthetic,2026
477,Bihar,district_26,rural,10k-25k,2,seed_synthetic,2026
478,Karnataka,district_27,rural,50k-100k,5,seed_synthetic,2026
479,Tamil Nadu,district_28,rural,25k-50k,1,seed_synthetic,2026
480,Karnataka,district_29,urban,<10k,5,seed_synthetic,2026
481,Maharashtra,district_30,rural,50k-100k,7,seed_synthetic,2026
482,West Bengal,district_31,rural,10k-25k,1,seed_synthetic,2026
483,Maharashtra,district_32,rural,50k-100k,3,seed_synthetic,2026
484,West Bengal,district_33,rural,<10k,6,seed_synthetic,2026
485,Uttar Pradesh,district_34,urban,25k-50k,4,seed_synthetic,2026
486,Maharashtra,district_35,rural,50k-100k,2,seed_synthetic,2026
487,Uttar Pradesh,district_36,urban,10k-25k,2,seed_synthetic,2026
488,Tamil Nadu,district_37,urban,25k-50k,6,seed_synthetic,2026
489,West Bengal,district_38,urban,100k+,7,seed_synthetic,2026
490,Tamil Nadu,district_39,rural,<10k,3,seed_synthetic,2026
491,Bihar,district_40,rural,<10k,4,seed_synthetic,2026
492,Bihar,district_41,rural,25k-50k,6,seed_synthetic,2026
493,West Bengal,district_42,rural,10k-25k,2,seed_synthetic,2026
494,Tamil Nadu,district_43,urban,<10k,2,seed_synthetic,2026
495,Maharashtra,district_44,rural,10k-25k,6,seed_synthetic,2026
496,Uttar Pradesh,district_45,rural,25k-50k,2,seed_synthetic,2026
497,Karnataka,district_46,rural,10k-25k,6,seed_synthetic,2026
498,Uttar Pradesh,district_47,urban,10k-25k,4,seed_synthetic,2026
499,Bihar,district_48,rural,50k-100k,7,seed_synthetic,2026
500,Uttar Pradesh,district_49,urban,10k-25k,1,seed_synthetic,2026
501,Karnataka,district_0,urban,50k-100k,7,seed_synthetic,2026
502,Tamil Nadu,district_1,rural,10k-25k,2,seed_synthetic,2026
503,Bihar,district_2,urban,100k+,1,seed_synthetic,2026
504,Bihar,district_3,urban,25k-50k,6,seed_synthetic,2026
505,Maharashtra,district_4,rural,<10k,4,seed_synthetic,2026
506,Uttar Pradesh,district_5,rural,50k-100k,6,seed_synthetic,2026
507,Tamil Nadu,district_6,rural,10k-25k,1,seed_synthetic,2026
508,Maharashtra,district_7,urban,<10k,1,seed_synthetic,2026
509,Maharashtra,district_8,rural,<10k,4,seed_synthetic,2026
510,Maharashtra,district_9,rural,25k-50k,7,seed_synthetic,2026
511,Bihar,district_10,rural,<10k,3,seed_synthetic,2026
512,West Bengal,district_11,rural,10k-25k,6,seed_synthetic,2026
513,Bihar,district_12,rural,<10k,7,seed_synthetic,2026
514,West Bengal,district_13,rural,10k-25k,7,seed_synthetic,2026
515,Bihar,district_14,urban,10k-25k,4,seed_synthetic,2026
516,Karnataka,district_15,urban,10k-25k,5,seed_synthetic,2026
517,Bihar,district_16,rural,10k-25k,4,seed_synthetic,2026
518,Karnataka,district_17,rural,<10k,5,seed_synthetic,2026
519,Uttar Pradesh,district_18,urban,25k-50k,4,seed_synthetic,2026
520,Tamil Nadu,district_19,rural,10k-25k,4,seed_synthetic,2026
521,Uttar Pradesh,district_20,rural,25k-50k,4,seed_synthetic,2026
522,Karnataka,district_21,rural,<10k,5,seed_synthetic,2026
523,Maharashtra,district_22,rural,<10k,6,seed_synthetic,2026
524,West Bengal,district_23,rural,<10k,7,seed_synthetic,2026
525,Maharashtra,district_24,rural,10k-25k,5,seed_synthetic,2026
526,Maharashtra,district_25,urban,10k-25k,1,seed_synthetic,2026
527,Bihar,district_26,rural,50k-100k,5,seed_synthetic,2026
528,Karnataka,district_27,rural,10k-25k,3,seed_synthetic,2026
529,Bihar,district_28,rural,10k-25k,1,seed_synthetic,2026
530,Bihar,district_29,rural,25k-50k,1,seed_synthetic,2026
531,Tamil Nadu,district_30,rural,<10k,5,seed_synthetic,2026
532,Karnataka,district_31,rural,10k-25k,7,seed_synthetic,2026
533,Karnataka,district_32,rural,10k-25k,4,seed_synthetic,2026
534,Maharashtra,district_33,rural,10k-25k,4,seed_synthetic,2026
535,Tamil Nadu,district_34,rural,<10k,1,seed_synthetic,2026
536,Karnataka,district_35,rural,25k-50k,5,seed_synthetic,2026
537,Uttar Pradesh,district_36,urban,50k-100k,1,seed_synthetic,2026
538,Karnataka,district_37,rural,<10k,6,seed_synthetic,2026
539,Tamil Nadu,district_38,rural,25k-50k,6,seed_synthetic,2026
540,Karnataka,district_39,urban,25k-50k,7,seed_synthetic,2026
541,West Bengal,district_40,urban,10k-25k,2,seed_synthetic,2026
542,Karnataka,district_41,rural,25k-50k,2,seed_synthetic,2026
543,Maharashtra,district_42,rural,25k-50k,3,seed_synthetic,2026
544,Maharashtra,district_43,rural,50k-100k,6,seed_synthetic,2026
545,West Bengal,district_44,urban,100k+,2,seed_synthetic,2026
546,Karnataka,district_45,urban,<10k,7,seed_synthetic,2026
547,Uttar Pradesh,district_46,urban,10k-25k,2,seed_synthetic,2026
548,Tamil Nadu,district_47,rural,10k-25k,1,seed_synthetic,2026
549,Tamil Nadu,district_48,rural,<10k,2,seed_synthetic,2026
550,West Bengal,district_49,urban,10k-25k,6,seed_synthetic,2026
551,West Bengal,district_0,rural,100k+,5,seed_synthetic,2026
552,Uttar Pradesh,district_1,urban,<10k,3,seed_synthetic,2026
553,West Bengal,district_2,urban,10k-25k,5,seed_synthetic,2026
554,Maharashtra,district_3,urban,50k-100k,5,seed_synthetic,2026
555,Bihar,district_4,urban,10k-25k,4,seed_synthetic,2026
556,Tamil Nadu,district_5,rural,10k-25k,4,seed_synthetic,2026
557,West Bengal,district_6,rural,100k+,1,seed_synthetic,2026
558,Bihar,district_7,urban,10k-25k,2,seed_synthetic,2026
559,West Bengal,district_8,rural,<10k,4,seed_synthetic,2026
560,Bihar,district_9,rural,<10k,1,seed_synthetic,2026
561,Tamil Nadu,district_10,rural,50k-100k,4,seed_synthetic,2026
562,Karnataka,district_11,rural,10k-25k,1,seed_synthetic,2026
563,Uttar Pradesh,district_12,urban,10k-25k,6,seed_synthetic,2026
564,Maharashtra,district_13,rural,<10k,1,seed_synthetic,2026
565,Bihar,district_14,urban,10k-25k,1,seed_synthetic,2026
566,Maharashtra,district_15,rural,50k-100k,5,seed_synthetic,2026
567,Maharashtra,district_16,rural,10k-25k,2,seed_synthetic,2026
568,Maharashtra,district_17,rural,100k+,3,seed_synthetic,2026
569,Tamil Nadu,district_18,urban,10k-25k,3,seed_synthetic,2026
570,Tamil Nadu,district_19,rural,10k-25k,2,seed_synthetic,2026
571,Bihar,district_20,rural,50k-100k,6,seed_synthetic,2026
572,Uttar Pradesh,district_21,rural,10k-25k,5,seed_synthetic,2026
573,Maharashtra,district_22,rural,10k-25k,2,seed_synthetic,2026
574,Karnataka,district_23,rural,50k-100k,5,seed_synthetic,2026
575,Karnataka,district_24,rural,10k-25k,5,seed_synthetic,2026
576,Uttar Pradesh,district_25,urban,10k-25k,4,seed_synthetic,2026
577,Bihar,district_26,rural,100k+,5,seed_synthetic,2026
578,Tamil Nadu,district_27,rural,<10k,7,seed_synthetic,2026
579,Bihar,district_28,rural,10k-25k,4,seed_synthetic,2026
580,Karnataka,district_29,urban,<10k,3,seed_synthetic,2026
581,Karnataka,district_30,urban,10k-25k,4,seed_synthetic,2026
582,Bihar,district_31,rural,<10k,6,seed_synthetic,2026
583,Karnataka,district_32,rural,25k-50k,5,seed_synthetic,2026
584,Karnataka,district_33,rural,<10k,1,seed_synthetic,2026
585,Uttar Pradesh,district_34,rural,25k-50k,4,seed_synthetic,2026
586,Bihar,district_35,rural,10k-25k,6,seed_synthetic,2026
587,West Bengal,district_36,rural,10k-25k,2,seed_synthetic,2026
588,Karnataka,district_37,rural,10k-25k,7,seed_synthetic,2026
589,Bihar,district_38,rural,25k-50k,6,seed_synthetic,2026
590,Bihar,district_39,rural,10k-25k,6,seed_synthetic,2026
591,West Bengal,district_40,urban,10k-25k,1,seed_synthetic,2026
592,Bihar,district_41,rural,50k-100k,5,seed_synthetic,2026
593,Maharashtra,district_42,urban,25k-50k,4,seed_synthetic,2026
594,Bihar,district_43,urban,<10k,5,seed_synthetic,2026
595,Maharashtra,district_44,rural,50k-100k,6,seed_synthetic,2026
596,West Bengal,district_45,rural,10k-25k,3,seed_synthetic,2026
597,Tamil Nadu,district_46,urban,<10k,4,seed_synthetic,2026
598,West Bengal,district_47,rural,10k-25k,5,seed_synthetic,2026
599,Tamil Nadu,district_48,rural,<10k,6,seed_synthetic,2026
600,Tamil Nadu,district_49,urban,<10k,6,seed_synthetic,2026
601,Tamil Nadu,district_0,urban,25k-50k,3,seed_synthetic,2026
602,West Bengal,district_1,urban,<10k,7,seed_synthetic,2026
603,West Bengal,district_2,rural,50k-100k,1,seed_synthetic,2026
604,Karnataka,district_3,rural,50k-100k,4,seed_synthetic,2026
605,West Bengal,district_4,urban,25k-50k,5,seed_synthetic,2026
606,Tamil Nadu,district_5,rural,25k-50k,1,seed_synthetic,2026
607,Maharashtra,district_6,urban,25k-50k,4,seed_synthetic,2026
608,Tamil Nadu,district_7,rural,100k+,5,seed_synthetic,2026
609,Bihar,district_8,rural,10k-25k,5,seed_synthetic,2026
610,Bihar,district_9,urban,<10k,1,seed_synthetic,2026
611,Bihar,district_10,urban,10k-25k,2,seed_synthetic,2026
612,Uttar Pradesh,district_11,rural,10k-25k,2,seed_synthetic,2026
613,West Bengal,district_12,rural,<10k,5,seed_synthetic,2026
614,Uttar Pradesh,district_13,rural,25k-50k,3,seed_synthetic,2026
615,West Bengal,district_14,rural,<10k,5,seed_synthetic,2026
616,Tamil Nadu,district_15,urban,50k-100k,6,seed_synthetic,2026
617,Maharashtra,district_16,urban,10k-25k,6,seed_synthetic,2026
618,Maharashtra,district_17,rural,<10k,2,seed_synthetic,2026
619,Karnataka,district_18,urban,<10k,7,seed_synthetic,2026
620,Karnataka,district_19,rural,<10k,2,seed_synthetic,2026
621,Uttar Pradesh,district_20,rural,10k-25k,1,seed_synthetic,2026
622,Uttar Pradesh,district_21,urban,<10k,1,seed_synthetic,2026
623,Karnataka,district_22,rural,10k-25k,2,seed_synthetic,2026
624,Uttar Pradesh,district_23,urban,<10k,7,seed_synthetic,2026
625,Tamil Nadu,district_24,rural,10k-25k,2,seed_synthetic,2026
626,Maharashtra,district_25,rural,10k-25k,5,seed_synthetic,2026
627,Uttar Pradesh,district_26,rural,10k-25k,3,seed_synthetic,2026
628,Uttar Pradesh,district_27,rural,10k-25k,1,seed_synthetic,2026
629,Tamil Nadu,district_28,rural,<10k,4,seed_synthetic,2026
630,Uttar Pradesh,district_29,rural,<10k,1,seed_synthetic,2026
631,West Bengal,district_30,rural,<10k,4,seed_synthetic,2026
632,Maharashtra,district_31,rural,25k-50k,4,seed_synthetic,2026
633,Uttar Pradesh,district_32,urban,100k+,4,seed_synthetic,2026
634,Uttar Pradesh,district_33,rural,50k-100k,2,seed_synthetic,2026
635,Maharashtra,district_34,rural,10k-25k,6,seed_synthetic,2026
636,West Bengal,district_35,urban,10k-25k,5,seed_synthetic,2026
637,Maharashtra,district_36,rural,10k-25k,2,seed_synthetic,2026
638,Maharashtra,district_37,rural,25k-50k,4,seed_synthetic,2026
639,West Bengal,district_38,urban,25k-50k,1,seed_synthetic,2026
640,Bihar,district_39,rural,50k-100k,7,seed_synthetic,2026
641,West Bengal,district_40,rural,50k-100k,6,seed_synthetic,2026
642,Bihar,district_41,rural,10k-25k,3,seed_synthetic,2026
643,Bihar,district_42,rural,25k-50k,5,seed_synthetic,2026
644,Uttar Pradesh,district_43,rural,50k-100k,5,seed_synthetic,2026
645,West Bengal,district_44,rural,10k-25k,5,seed_synthetic,2026
646,Maharashtra,district_45,urban,50k-100k,1,seed_synthetic,2026
647,Uttar Pradesh,district_46,rural,<10k,7,seed_synthetic,2026
648,Tamil Nadu,district_47,rural,100k+,7,seed_synthetic,2026
649,Bihar,district_48,rural,25k-50k,7,seed_synthetic,2026
650,Bihar,district_49,rural,<10k,7,seed_synthetic,2026
651,Uttar Pradesh,district_0,urban,25k-50k,7,seed_synthetic,2026
652,Tamil Nadu,district_1,rural,<10k,6,seed_synthetic,2026
653,Maharashtra,district_2,urban,25k-50k,1,seed_synthetic,2026
654,West Bengal,district_3,urban,25k-50k,4,seed_synthetic,2026
655,Tamil Nadu,district_4,rural,25k-50k,2,seed_synthetic,2026
656,Tamil Nadu,district_5,urban,50k-100k,2,seed_synthetic,2026
657,West Bengal,district_6,urban,<10k,6,seed_synthetic,2026
658,Tamil Nadu,district_7,urban,10k-25k,6,seed_synthetic,2026
659,Karnataka,district_8,rural,10k-25k,4,seed_synthetic,2026
660,Maharashtra,district_9,rural,<10k,6,seed_synthetic,2026
661,Maharashtra,district_10,urban,10k-25k,1,seed_synthetic,2026
662,West Bengal,district_11,rural,10k-25k,2,seed_synthetic,2026
663,Karnataka,district_12,rural,10k-25k,7,seed_synthetic,2026
664,Maharashtra,district_13,urban,10k-25k,4,seed_synthetic,2026
665,Tamil Nadu,district_14,urban,50k-100k,4,seed_synthetic,2026
666,West Bengal,district_15,rural,10k-25k,4,seed_synthetic,2026
667,Tamil Nadu,district_16,rural,50k-100k,2,seed_synthetic,2026
668,Bihar,district_17,rural,10k-25k,6,seed_synthetic,2026
669,Bihar,district_18,rural,10k-25k,6,seed_synthetic,2026
670,Karnataka,district_19,urban,10k-25k,5,seed_synthetic,2026
671,Bihar,district_20,rural,10k-25k,3,seed_synthetic,2026
672,Tamil Nadu,district_21,rural,10k-25k,5,seed_synthetic,2026
673,Tamil Nadu,district_22,urban,10k-25k,7,seed_synthetic,2026
674,Karnataka,district_23,rural,<10k,5,seed_synthetic,2026
675,Tamil Nadu,district_24,rural,10k-25k,4,seed_synthetic,2026
676,West Bengal,district_25,rural,25k-50k,2,seed_synthetic,2026
677,Tamil Nadu,district_26,rural,10k-25k,4,seed_synthetic,2026
678,Karnataka,district_27,rural,50k-100k,3,seed_synthetic,2026
679,Tamil Nadu,district_28,urban,10k-25k,5,seed_synthetic,2026
680,Bihar,district_29,urban,100k+,1,seed_synthetic,2026
681,West Bengal,district_30,rural,25k-50k,2,seed_synthetic,2026
682,Karnataka,district_31,urban,100k+,6,seed_synthetic,2026
683,Bihar,district_32,urban,50k-100k,3,seed_synthetic,2026
684,Bihar,district_33,urban,<10k,4,seed_synthetic,2026
685,Maharashtra,district_34,urban,10k-25k,4,seed_synthetic,2026
686,West Bengal,district_35,rural,<10k,4,seed_synthetic,2026
687,Uttar Pradesh,district_36,rural,50k-100k,6,seed_synthetic,2026
688,Tamil Nadu,district_37,rural,25k-50k,2,seed_synthetic,2026
689,Uttar Pradesh,district_38,urban,10k-25k,6,seed_synthetic,2026
690,West Bengal,district_39,rural,50k-100k,2,seed_synthetic,2026
691,Bihar,district_40,rural,<10k,3,seed_synthetic,2026
692,West Bengal,district_41,rural,25k-50k,5,seed_synthetic,2026
693,Bihar,district_42,rural,25k-50k,7,seed_synthetic,2026
694,Bihar,district_43,rural,<10k,2,seed_synthetic,2026
695,Karnataka,district_44,rural,25k-50k,5,seed_synthetic,2026
696,Maharashtra,district_45,urban,50k-100k,1,seed_synthetic,2026
697,West Bengal,district_46,urban,<10k,1,seed_synthetic,2026
698,Tamil Nadu,district_47,rural,10k-25k,6,seed_synthetic,2026
699,Karnataka,district_48,urban,10k-25k,6,seed_synthetic,2026
700,Karnataka,district_49,rural,25k-50k,3,seed_synthetic,2026
701,Tamil Nadu,district_0,rural,<10k,5,seed_synthetic,2026
702,Tamil Nadu,district_1,rural,50k-100k,3,seed_synthetic,2026
703,Maharashtra,district_2,rural,50k-100k,2,seed_synthetic,2026
704,Maharashtra,district_3,rural,<10k,4,seed_synthetic,2026
705,Karnataka,district_4,urban,10k-25k,3,seed_synthetic,2026
706,Tamil Nadu,district_5,urban,25k-50k,6,seed_synthetic,2026
707,Karnataka,district_6,rural,25k-50k,3,seed_synthetic,2026
708,Tamil Nadu,district_7,rural,10k-25k,3,seed_synthetic,2026
709,Uttar Pradesh,district_8,urban,<10k,4,seed_synthetic,2026
710,Uttar Pradesh,district_9,rural,<10k,6,seed_synthetic,2026
711,West Bengal,district_10,rural,100k+,2,seed_synthetic,2026
712,Tamil Nadu,district_11,rural,10k-25k,7,seed_synthetic,2026
713,West Bengal,district_12,rural,50k-100k,4,seed_synthetic,2026
714,West Bengal,district_13,rural,10k-25k,5,seed_synthetic,2026
715,Bihar,district_14,urban,50k-100k,7,seed_synthetic,2026
716,West Bengal,district_15,rural,<10k,4,seed_synthetic,2026
717,Tamil Nadu,district_16,urban,<10k,2,seed_synthetic,2026
718,Uttar Pradesh,district_17,rural,50k-100k,6,seed_synthetic,2026
719,Maharashtra,district_18,rural,50k-100k,1,seed_synthetic,2026
720,Tamil Nadu,district_19,urban,10k-25k,4,seed_synthetic,2026
721,Karnataka,district_20,urban,10k-25k,7,seed_synthetic,2026
722,Bihar,district_21,urban,10k-25k,3,seed_synthetic,2026
723,Bihar,district_22,rural,10k-25k,5,seed_synthetic,2026
724,Karnataka,district_23,rural,<10k,4,seed_synthetic,2026
725,West Bengal,district_24,urban,50k-100k,2,seed_synthetic,2026
726,Karnataka,district_25,rural,10k-25k,3,seed_synthetic,2026
727,West Bengal,district_26,rural,25k-50k,4,seed_synthetic,2026
728,Karnataka,district_27,rural,<10k,1,seed_synthetic,2026
729,Uttar Pradesh,district_28,rural,<10k,3,seed_synthetic,2026
730,Tamil Nadu,district_29,urban,25k-50k,3,seed_synthetic,2026
731,West Bengal,district_30,urban,10k-25k,6,seed_synthetic,2026
732,Uttar Pradesh,district_31,rural,25k-50k,1,seed_synthetic,2026
733,Bihar,district_32,urban,<10k,6,seed_synthetic,2026
734,West Bengal,district_33,rural,50k-100k,3,seed_synthetic,2026
735,Maharashtra,district_34,urban,25k-50k,5,seed_synthetic,2026
736,West Bengal,district_35,urban,50k-100k,4,seed_synthetic,2026
737,West Bengal,district_36,urban,<10k,3,seed_synthetic,2026
738,Uttar Pradesh,district_37,rural,10k-25k,7,seed_synthetic,2026
739,West Bengal,district_38,urban,10k-25k,2,seed_synthetic,2026
740,Bihar,district_39,urban,10k-25k,1,seed_synthetic,2026
741,West Bengal,district_40,rural,10k-25k,6,seed_synthetic,2026
742,West Bengal,district_41,urban,<10k,5,seed_synthetic,2026
743,Tamil Nadu,district_42,rural,10k-25k,7,seed_synthetic,2026
744,Maharashtra,district_43,urban,10k-25k,4,seed_synthetic,2026
745,West Bengal,district_44,rural,10k-25k,1,seed_synthetic,2026
746,Uttar Pradesh,district_45,urban,<10k,1,seed_synthetic,2026
747,Tamil Nadu,district_46,rural,10k-25k,4,seed_synthetic,2026
748,Maharashtra,district_47,urban,25k-50k,2,seed_synthetic,2026
749,Maharashtra,district_48,rural,10k-25k,7,seed_synthetic,2026
750,Karnataka,district_49,rural,10k-25k,1,seed_synthetic,2026
751,Bihar,district_0,urban,10k-25k,7,seed_synthetic,2026
752,Karnataka,district_1,urban,25k-50k,2,seed_synthetic,2026
753,Karnataka,district_2,urban,10k-25k,1,seed_synthetic,2026
754,Bihar,district_3,rural,25k-50k,2,seed_synthetic,2026
755,Tamil Nadu,district_4,urban,100k+,2,seed_synthetic,2026
756,Uttar Pradesh,district_5,rural,10k-25k,3,seed_synthetic,2026
757,West Bengal,district_6,rural,50k-100k,3,seed_synthetic,2026
758,Uttar Pradesh,district_7,rural,25k-50k,4,seed_synthetic,2026
759,Karnataka,district_8,rural,<10k,4,seed_synthetic,2026
760,West Bengal,district_9,rural,10k-25k,1,seed_synthetic,2026
761,Maharashtra,district_10,urban,25k-50k,1,seed_synthetic,2026
762,Tamil Nadu,district_11,rural,100k+,2,seed_synthetic,2026
763,Bihar,district_12,urban,10k-25k,2,seed_synthetic,2026
764,Bihar,district_13,rural,<10k,1,seed_synthetic,2026
765,Uttar Pradesh,district_14,rural,25k-50k,3,seed_synthetic,2026
766,West Bengal,district_15,rural,<10k,4,seed_synthetic,2026
767,Tamil Nadu,district_16,urban,25k-50k,3,seed_synthetic,2026
768,Uttar Pradesh,district_17,rural,10k-25k,3,seed_synthetic,2026
769,Karnataka,district_18,rural,25k-50k,4,seed_synthetic,2026
770,Uttar Pradesh,district_19,rural,50k-100k,4,seed_synthetic,2026
771,Tamil Nadu,district_20,rural,25k-50k,3,seed_synthetic,2026
772,Bihar,district_21,rural,25k-50k,2,seed_synthetic,2026
773,Karnataka,district_22,rural,25k-50k,3,seed_synthetic,2026
774,West Bengal,district_23,rural,50k-100k,1,seed_synthetic,2026
775,Bihar,district_24,urban,50k-100k,4,seed_synthetic,2026
776,Bihar,district_25,urban,<10k,7,seed_synthetic,2026
777,Uttar Pradesh,district_26,urban,25k-50k,3,seed_synthetic,2026
778,Karnataka,district_27,urban,<10k,1,seed_synthetic,2026
779,Maharashtra,district_28,rural,50k-100k,5,seed_synthetic,2026
780,Bihar,district_29,rural,25k-50k,1,seed_synthetic,2026
781,Bihar,district_30,rural,10k-25k,2,seed_synthetic,2026
782,Tamil Nadu,district_31,rural,<10k,2,seed_synthetic,2026
783,Karnataka,district_32,rural,10k-25k,7,seed_synthetic,2026
784,Karnataka,district_33,rural,25k-50k,7,seed_synthetic,2026
785,Uttar Pradesh,district_34,rural,<10k,4,seed_synthetic,2026
786,Tamil Nadu,district_35,rural,<10k,5,seed_synthetic,2026
787,Karnataka,district_36,rural,50k-100k,5,seed_synthetic,2026
788,West Bengal,district_37,urban,25k-50k,5,seed_synthetic,2026
789,Tamil Nadu,district_38,rural,<10k,4,seed_synthetic,2026
790,Karnataka,district_39,rural,10k-25k,7,seed_synthetic,2026
791,Karnataka,district_40,rural,100k+,6,seed_synthetic,2026
792,Uttar Pradesh,district_41,rural,25k-50k,1,seed_synthetic,2026
793,West Bengal,district_42,rural,25k-50k,3,seed_synthetic,2026
794,West Bengal,district_43,urban,10k-25k,7,seed_synthetic,2026
795,Uttar Pradesh,district_44,urban,10k-25k,3,seed_synthetic,2026
796,Maharashtra,district_45,rural,<10k,2,seed_synthetic,2026
797,Bihar,district_46,urban,25k-50k,7,seed_synthetic,2026
798,Uttar Pradesh,district_47,urban,<10k,5,seed_synthetic,2026
799,Maharashtra,district_48,rural,<10k,4,seed_synthetic,2026
800,Uttar Pradesh,district_49,rural,25k-50k,3,seed_synthetic,2026
801,Karnataka,district_0,urban,50k-100k,1,seed_synthetic,2026
802,Maharashtra,district_1,rural,25k-50k,3,seed_synthetic,2026
803,Tamil Nadu,district_2,rural,10k-25k,4,seed_synthetic,2026
804,Bihar,district_3,urban,10k-25k,7,seed_synthetic,2026
805,West Bengal,district_4,rural,10k-25k,3,seed_synthetic,2026
806,West Bengal,district_5,rural,10k-25k,2,seed_synthetic,2026
807,Tamil Nadu,district_6,rural,10k-25k,3,seed_synthetic,2026
